법정동,개 등록자 수,개 등록 수,고양이 등록자 수,고양이 등록 수,기준일자,,
가양동," 1,707 "," 2,165 ", 8 , 9 ,2021-02-22,,
개화동, 109 , 159 ,,,2021-02-22,,
공항동, 776 ," 1,056 ",,,2021-02-22,,
등촌동," 2,651 "," 3,345 ", 15 , 18 ,2021-02-22,,
마곡동," 1,162 "," 1,393 ", 3 , 4 ,2021-02-22,,
방화동," 2,709 "," 3,537 ", 9 , 12 ,2021-02-22,,
염창동," 1,430 "," 1,750 ", 4 , 10 ,2021-02-22,,
오쇠동, 1 , 3 ,,,2021-02-22,,
화곡동," 9,520 "," 12,512 ", 47 , 55 ,2021-02-22,,
내발산동," 1,641 "," 1,968 ", 5 , 5 ,2021-02-22,,
외발산동, 44 , 54 ,,,2021-02-22,,
,,,,,,,
