읍면동,동물구분,등록두수,내장형,외장형,인식표,데이터기준일자
한림읍,개,1645,1350,271,24,2021-06-30
한림읍,고양이,42,42,0,0,2021-06-30
애월읍,개,3203,2564,570,69,2021-06-30
애월읍,고양이,195,195,0,0,2021-06-30
조천읍,개,2609,1708,864,37,2021-06-30
조천읍,고양이,72,72,0,0,2021-06-30
구좌읍,개,1182,947,193,42,2021-06-30
구좌읍,고양이,38,38,0,0,2021-06-30
한경면,개,802,628,161,13,2021-06-30
한경면,고양이,10,10,0,0,2021-06-30
우도면,개,293,283,5,5,2021-06-30
우도면,고양이,3,3,0,0,2021-06-30
추자면,개,105,101,4,0,2021-06-30
추자면,고양이,0,0,0,0,2021-06-30
동지역,개,22202,19067,2696,439,2021-06-30
동지역,고양이,1064,1064,0,0,2021-06-30
